"Codice","Descrizione","QtaGiac"
"P000159","Campioni Idro-gel viso illuminante shine (25 pz)","5.00"
"P000160","Campioni Latte struccante melissa (25 pz)","2.00"
"P000162","Campioni BB cream SAND (25 pz)","168.00"
"P000163","Campioni BB cream FAIR (25 pz)","206.00"
"P000164","Campioni BB cream BEIGE (25 pz)","184.00"
"P000166","Campioni Crema corpo nutriente - Soffice di Karitè (25 pz)","4.00"
"P000167","Campioni Crema corpo idratante - Sorbetto di fiori e radici (25 pz)","123.00"
"P000168","Campioni Detergente corpo Iris e Zenzero - Succo di fiori (25 pz)","66.00"
"P000169","Campioni Detergente corpo Vaniglia e Carota - Dolce Schiuma (25 pz)","67.00"
"P000192","Campione singolo Fitocell Out - Crema cellulite (5 ml)","8561.00"
"P000193","Campioni Fitocell Out - Crema cellulite (25 pz)","77.00"
"P000197","Campioni Wonder mask hair volume (25 pz)","0.00"
"P000203","Campioni Crema ravvivaricci (25 pz)","2.00"
"P000620set25","Set 25 pezzi Scatola - Holiday Vibes","121.00"
"P000630","Scatola regalo - Made with love (composta da 3 elementi)","50.00"
"P000630set25","Set 25 pezzi Scatola regalo - Made with love ","196.00"
"P000631","Scatola regalo - Holiday Vibes (composta da 3 elementi)","19.00"
"P000633set30","Set 30 pz Scatola in Cartone AVANA 22x15x8 (est.)","0.00"
"P000810set25","Set 25 pz Busta carta avana con manico piatto M (18x8x24) ","148.00"
"P000886","Set 5 pz unguento all'Arnica + expo","10.00"
"P000887","Set 5 pz unguento all'Iperico + expo","31.00"
"P000888","Set 5 pz unguento alla Calendula + expo","18.00"
"P000889","Set 5 pz unguento al Timo + expo","18.00"
"P000890","Set 5 pz burro di karitè + expo","13.00"
"P000891","Set 5 pz crema mani menta e limone + expo","24.00"
"P000892","Set 5 pz crema mani rosa e karitè + expo","0.00"
"P000893","Set 5 pz crema mani extravergine + expo","8.00"
"P000895","Campione singolo CBD Crema-Gel viso Antiage (3 ml)","17423.00"
"P000896","Campioni CBD Crema-Gel viso Antiage (25 pz)","110.00"
"P000897","Campione singolo CBD Fluido Dopo Barba (3 ml)","26395.00"
"P000898","Campioni CBD Fluido Dopo Barba (25 pz)","62.00"
"P000899","Campione singolo Doccia Shampoo All in One (8 ml)","14941.00"
"P000900","Campioni Doccia Shampoo All in One (25 pz)","123.00"
"P000901","Campione singolo Shampoo Anti-caduta (8 ml)","13031.00"
"P000902","Campioni Shampoo Anti-caduta (25 pz)","79.00"
"P000941","ROSA D'INVERNO Lanterna - Sapone  & Crema mani rosa e Karitè","0.00"
"P000949","Volantini smagliature (set 25 pz)","16.00"
"P000952","Campione singolo Crema viso protettiva SPF 30 (3 ml)","3055.00"
"P000953","Campioni Crema viso protettiva SPF 30 (25 pz)","203.00"
"P000958","Guida Attivi Puri (50 pz)","59.00"
"P000965","Campione singolo Siero Urto Smagliature (5 ml)","4653.00"
"P000966","Campione singolo Detergente intimo (8 ml)","9900.00"
"P000970","Flacone refill alluminio -  Eco-Shampoo","1105.00"
"P000971","Flacone refill alluminio -  Eco-Bagnodoccia","397.00"
"P000972","Flacone refill alluminio -  Eco-Sapone mani","99.00"
"P000977","Campioni Detergente intimo (25 pz)","169.00"
"P000978","Campioni Siero Urto Smagliature (25 pz)","108.00"
"P000981","Campioni Stay pure Crema viso intensiva anti-imperfezioni (25 pz)","215.00"
"P000982","Campione singolo Stay pure Crema viso intensiva anti-imperfezioni (3 ml)","14068.00"
"P000983","Campione singolo Stay matte Crema viso primer opacizzante e levigante (3 ml)","7638.00"
"P000984","Campioni Stay matte Crema primer opacizzante e levigante (25 pz)","429.00"
"P000985","Campione singolo Deep pure - Gel detergente viso purificante (3 ml)","823.00"
"P000986","Campioni Deep pure - Gel detergente viso purific (25 pz)","178.00"
"P000987","Campioni omaggio MISTI (25 pz)","316.00"
"P000994","ARANCIA E CANNELLA Lanterna - Sapone arancia e cannella & spugna cotone e canapa","0.00"
"P000996","Campione singolo Olio gel struccante (3 ml)","17697.00"
"P001000","Campioni Olio gel struccante (25 pz)","12.00"
"P001003","Campione singolo Contorno occhi Lift & restore (2 ml)","0.00"
"P001004","Campioni Contorno occhi Lift & restore (25 pz)","23.00"
"P001005","Campione singolo Crema viso Lift & Defence (3 ml)","20929.00"
"P001006","Campioni Crema viso Lift & Defence (25 pz)","108.00"
"P001007","Campione singolo Crema notte Deep Care (3 ml)","24522.00"
"P001008","Volantini In&Out - Integratori di bellezza (set 50 pz)","24.00"
"P001013","Campioni Crema notte Deep Care (25 pz)","136.00"
"P001021","Flacone refill alluminio - Amore limited edition","472.00"
"P001028","Bustina polvere colore maschera antigiallo (3 g)","5172.00"
"P001029","Campione singolo Scrub cuoio capelluto detox - MENTA BIO E ROSMARINO (5 ml)","18106.00"
"P001030","Campione singolo Maschera ristrutturante - COCCO BIO E FITOCHERATINA (5 ml)","22413.00"
"P001031","Campione singolo Maschera anti-crespo - ALOE BIO E IALURONICO (5 ml)","23267.00"
"P001032","Campioni Scrub cuoio capelluto detox - MENTA BIO E ROSMARINO (25 pz)","563.00"
"P001033","Campioni Maschera ristrutturante - COCCO BIO E FITOCHERATINA (set 25 pz)","204.00"
"P001034","Campioni Maschera anti-crespo - ALOE BIO E IALURONICO (set 25 pz)","234.00"
"P001036","Campione singolo Shampoo rinforzante - GIRASOLE BIO E ARANCIO (8 ml)*","33683.00"
"P001037","Campione singolo Shampoo riequilibrante SALVIA E LIMONE (8 ml)*","33419.00"
"P001038","Campione singolo Crema Ravvivaricci modellante - BABASSU BIO E PREBIOTICI (5 ml)","21993.00"
"P001039","Campione singolo Shampoo neutro - Bio EXTRAVERGINE (8 ml)*","35135.00"
"P001040","Campioni Shampoo rinforzante - GIRASOLE BIO E ARANCIO (25 pz)*","190.00"
"P001041","Campioni Shampoo riequilibrante - SALVIA E LIMONE (25 pz)*","274.00"
"P001042","Campioni Shampoo neutro - EXTRAVERGINE (25 pz)*","219.00"
"P001043","Campioni Crema Ravvivaricci modellante - BABASSU BIO E PREBIOTICI (25 pz)","313.00"
"P04977101","Organic Heroes - Booster Acido ialuronico + Collagene (30 ml)","1440.00"
"P04977102","Organic Heroes - Booster Niacinamide + Shikimico (30 ml)","1325.00"
"P04977103","Organic Heroes - Booster Peptidi + Vitamina C (30 ml)","2787.00"
"P04977104","Organic Heroes - Booster Caffeina + Gelsomino (30 ml)","3242.00"
"P04977105","Organic Heroes - Booster Rosa Mosqueta + Albicocca (30 ml)","2627.00"
"P04977106","Organic Heroes - Booster Bakuchiol + Vitamina E (30 ml)","1533.00"
"P04977107","Organic Heroes - Crema Viso Antiage Ialuronico + Collagene (50 ml)","1589.00"
"P04977108","Organic Heroes - Crema Viso Purificante Shikimico + Niacinamide (50 ml)","1927.00"
"P04977109","Organic Heroes - Crema Viso Illuminante Vitamina C + Peptidi (50 ml)","2239.00"
"P04977110","Organic Heroes - Contorno occhi (30 ml)","2093.00"
"P04977111","Organic Heroes - Tonico (100 ml)","2348.00"
"P05323601","Emergency - Gel doccia rivitalizzante (150 ml)  ","1941.00"
"P05323602","Emergency - Crema corpo AHA levigante (150 ml)","2089.00"
"P05323603","Emergency - Cofanetto solidale: Crema Corpo AHA & Gel doccia rivitalizzante","37.00"
"PC001G100","GUADO Blu - BioSapone mani nutriente e protettivo per Pesaro 2024 (100 g)","1.00"
"PC002M200","UVA ROSSA - Shampoo nutriente e rivitalizzante per Pesaro 2024 (200 ml)","212.00"
"PC003M200","GINESTRA - Bagnodoccia rivitalizzante e idratante per Pesaro 2024 (200 ml)","91.00"
"PC004M075","OLIVA - Crema mani e corpo tonificante e levigante per Pesaro 2024 (75 ml)","281.00"
"SA001G100","Sapone all'olio extrav. d'oliva - ARANCIA e CANNELLA (100 g)","1931.00"
"SA001K001","Barra sapone all'olio extrav. d'oliva - ARANCIA e CANNELLA (1 kg)","62.00"
"SA001K005","Ritagli sapone all'olio extrav. d'oliva - ARANCIA e CANNELLA (5 kg)","0.00"
"SA002G100","Sapone all'olio extrav. d'oliva - CALENDULA e GERME DI GRANO (100 g)","0.00"
"SA002K001","Barra sapone all'olio extrav. d'oliva - CALENDULA e GERME DI GRANO (1 kg)","0.00"
"SA002K005","Ritagli sapone all'olio extrav. d'oliva - CALENDULA e GERME DI GRANO (5 kg)","0.00"
"SA003G100","Sapone all'olio extrav. d'oliva - EXTRAVERGINE (100 g)","1929.00"
"SA003K001","Barra sapone all'olio extrav. d'oliva - EXTRAVERGINE (1 kg)","61.00"
"SA003K005","Ritagli sapone all'olio extrav. d'oliva - EXTRAVERGINE (5 kg)","0.00"
"SA004G100","Sapone all'olio extrav. d'oliva - MIELE e LAVANDA (100 g)","1742.00"
"SA004K001","Barra sapone all'olio extrav. d'oliva - MIELE e LAVANDA (1 kg)","103.00"
"SA004K005","Ritagli sapone all'olio extrav. d'oliva - MIELE e LAVANDA (5 kg)","0.00"
"SA005G100","Sapone all'olio extrav. d'oliva - MIRTO E UVA ROSSA (100 g)","1388.00"
"SA005K001","Barra sapone all'olio extrav. d'oliva - MIRTO E UVA ROSSA (1 kg)","45.00"
"SA005K005","Ritagli sapone all'olio extrav. d'oliva - MIRTO E UVA ROSSA (5 kg)","0.00"
"SA006G100","Sapone all'olio extrav. d'oliva - PAPAVERO e CIPRESSO (100 g)","896.00"
"SA006K001","Barra sapone all'olio extrav. d'oliva - PAPAVERO e CIPRESSO (1 kg)","81.00"
"SA006K005","Ritagli sapone all'olio extrav. d'oliva - PAPAVERO e CIPRESSO (5 kg)","0.00"
"SA008G015","mini Sapone all'olio extrav. d'oliva - ROSA e KARITE' (15 g)","1151.00"
"SA008G100","Sapone all'olio extrav. d'oliva - ROSA e KARITE' (100 g)","2156.00"
"SA008K001","Barra sapone all'olio extrav. d'oliva - ROSA e KARITE' (1 kg)","90.00"
"SA008K005","Ritagli sapone all'olio extrav. d'oliva - ROSA e KARITE' (5 kg)","0.00"
"SA009G100","Sapone all'olio extrav. d'oliva - TIGLIO e MALVA (100 g)","515.00"
"SA009K001","Barra sapone all'olio extrav. d'oliva - TIGLIO e MALVA (1 kg)","31.00"
"SA009K005","Ritagli sapone all'olio extrav. d'oliva - TIGLIO e MALVA (5 kg)","0.00"
"SA010G100","Sapone all'olio extrav. d'oliva - MEDITERRANEO CON ALOE (100 g)","1818.00"
"SA010K001","Barra sapone all'olio extrav. d'oliva - MEDITERRANEO CON ALOE (1 kg)","127.00"
"SA010K005","Ritagli sapone all'olio extrav. d'oliva - MEDITERRANEO CON ALOE (5 kg)","0.00"
"SA012G200","Eco Marsiglia - bucato a mano (200 g)","864.00"
"SA012K005","Ritagli sapone - ECO MARSIGLIA (5 kg)","10.00"
"SA014G300","Pacco economia saponi misti (300 g)","175.00"
"SA016G100","Sapone all'olio extrav. d'oliva - MANDORLA e ZENZERO (100 g)","2028.00"
"SA016K001","Barra sapone all'olio extrav. d'oliva - MANDORLA e ZENZERO (1 kg)","101.00"
"SA016K005","Ritagli sapone all'olio extrav. d'oliva - MANDORLA e ZENZERO (5 kg)","0.00"
"SA017K005","Ritagli sapone all'olio extrav. d'oliva - MISTI (5 kg)","35.00"
"SC005P002","SCRIGNO BOOSTER VISO - Acido ialuronico + Maschera two steps","33.00"
"SC006P002","SCRIGNO MANI E UNGHIE - Crema mani e unghie, limetta unghie orso","9.00"
"SC007P002","SCRIGNO MANI E LABBRA - Crema mani + Lip gloss (Mandorle & Frutti rossi)","4.00"
"SF003M100","Coco silicone (100 ml)","515.00"
"SF008M030","Coenzima Q10 R-PET (30 ml)","6682.00"
"SF009M025","Condizionante capelli (25 ml)","74.00"
"SF010M010","Bisabololo naturale (10 ml)","118.00"
"SL001P003","Salvadanaio Orso Polare, VISO - Patch occhi+Contorno occhi WOW+Lift&Restore2ml","388.00"
"SL002P002","Salvadanaio Tricheco, CORPO - Crema corpo Lime&Zenzero+Scrub corpo Zenzero&Albic","559.00"
"SL003P002","Salvadanaio Volpe Artica, MANI E LABBRA - Crema mani Rosa&karitè + Biocao melogr","9.00"
"SM001M100","Siero Urto smagliature (100 ml)","959.00"
"SM002M150","Burro smagliature ultra-elasticizzante (150 ml)","1253.00"
"SP002M100","Glicerina vegetale (100 ml)","548.00"
"SP004G025","Gomma Xantana (25 g)","298.00"
"SP006M050","Sorbitolo (50 ml)","16.00"
"SP007M025","Pantenolo (25 ml)","229.00"
"SP008M030","Sorbitolo (30 ml)","0.00"
"SV001M100","Gel esfoliante viso Wonderscrub (100 ml)","923.00"
"TI000M150","Shampoo pre tinta - AVATARA (150 ml)","1481.00"
"TI001G100","Tinta vegetale color sabbia - DEVI (100 g)","2422.00"
"TI002G100","Tinta vegetale color rame - PARVATI (100 g)","2712.00"
"TI004G100","Tinta vegetale color nocciola - LAKSHMI (100 g)","2235.00"
"TI005G100","Tinta vegetale color melograno - DURGA (100 g)","1912.00"
"TI006G100","Tinta vegetale color castagno - INDRANI (100 g)","2373.00"
"TI007G100","Tinta vegetale color castano scuro - RATRI (100 g)","2938.00"
"TI008G100","Tinta vegetale color rosé - SHAKTI (100 g)","828.00"
"TI009G100","Tinta vegetale castano chiaro - SARASVATI (100 g)","2166.00"
"VA001M015","Contorno occhi Lift & restore (15 ml)","9015.00"
"VA001M015n","Contorno occhi Lift & restore (15 ml) NUDO","0.00"
"VA002M050","Crema viso Lift & Defence (50 ml)","2933.00"
"VA003M050","Crema notte Deep Care (50 ml)","2395.00"
"VA004M030","Siero viso Proage ultra (30 ml)","5015.00"
"VI001M050","Crema viso idratante Melissa (50 ml)","3335.00"
"VI002M050","Crema viso nutriente mirtilla (50 ml)","4239.00"
"VI003M050","Crema viso no-age Melagrana (50 ml)","4670.00"
"VI004M050","Idro-gel viso illuminante shine (50 ml)","2178.00"
"VI005M015","Siero bioattivo no-age (15 ml)","1678.00"
"VI007M015","Siero bioattivo uniformante (15 ml)","978.00"
"VI009M015","Siero bioattivo anti-imperfezioni (15 ml)","1076.00"
"VI011M150","Latte struccante melissa (150 ml)","1598.00"
"VI012M150","Mousse detergente mirtilla (150 ml)","8321.00"
"VI013M050","Acqua attiva lenitiva Melissa (50 ml)","1470.00"
"VI014M050","Acqua attiva antiossidante Melagrana (50 ml)","1065.00"
"VP001M050","Stay pure - Crema viso intensiva anti-imperfezioni  (50 ml)","2689.00"
"VP002M050","Stay matte - Crema viso primer opacizzante e levigante (50 ml)","3650.00"
"VP003M015","Brufolo Kill - Siero urto localizzato (15 ml)","4823.00"
"VP003M015n","Brufolo Kill - Siero urto localizzato (15 ml) NUDO","0.00"
"VP004M150","Pure glow - Lozione esfoliante ed illuminante (150 ml)","1526.00"
"VP005M100","Deep pure - Gel detergente viso purificante (100 ml)","3695.00"
"WO001M015","WOW Crema contorno occhi 3 in 1 (15 ml)","7467.00"
"WO001M015n","WOW Crema contorno occhi 3 in 1 (15 ml) NUDO","2925.00"
"WO002M010","WOW Siero rinforzante ciglia&sopracciglia (10 ml)","2731.00"
"WO002M010n","WOW Siero rinforzante ciglia&sopracciglia (10 ml) NUDO","0.00"
"WP004G070","Detergente viso solido purificante - Bye Bye Impurità (70 g)","1064.00"
"WP004K005","Ritagli sapone - Detergente viso solido purificante (5 kg)","1.00"
"WP005G070","Detergente viso solido lenitivo - No Stress (70 g)","1440.00"
"WP005K005","Ritagli sapone - Detergente viso solido lenitivo (5 kg)","1.00"
"WP008M050","Maschera viso anti-age - Forever Young (50 ml)","3171.00"
"WP009M050","Maschera viso purificante - Bye Bye Impurità (50 ml)","736.00"
"WP010M045","Burro struccante - Hip Hip Burro! (45 ml)","1385.00"
"WP011M045","Scrub Mousse viso e mani - Nice to meet you (45 ml)","1479.00"
