,Key,Quantità_x,Quantità_y,Differenza
6273,"Limetta unghie 2 in 1 Orso polare, grana 180-240__BIOSTORIE__ITALIA",665.0,34912.50016624992,0.019047618956916142
6276,"Limetta unghie 2 in 1 Orso polare, grana 180-240__DISTRIBUTORI__SPAGNA",240.0,12600.00005999997,0.019047618956916146
6277,"Limetta unghie 2 in 1 Orso polare, grana 180-240__E-RETAILERS__AUSTRIA",120.0,6300.000029999985,0.019047618956916146
6292,Lip gloss Glow - MANDORLE & FRUTTI ROSSI (12 ml)__BIOSTORIE__ITALIA,1197.0,62842.50029924985,0.019047618956916146
6298,Lip gloss Glow - MANDORLE & FRUTTI ROSSI (12 ml)__NEGOZI AL DETTAGLIO__ITALIA,304.0,1903.00003949998,0.15974776336834817
6502,Mandorle&Frutti rossi - Cofanetto feste: Lipgloss+Cr corpo+Cr mani+Limetta festa__BIOSTORIE__ITALIA,446.0,23415.00011149994,0.01904761895691615
6508,Mandorle&Frutti rossi - Cofanetto feste: Lipgloss+Cr corpo+Cr mani+Limetta festa__NEGOZI AL DETTAGLIO__ITALIA,143.0,709.2000185999908,0.2016356405098406
6526,Maschera anti-crespo - ALOE BIO E IALURONICO (200 ml)__BIOSTORIE__ITALIA,249.0,7114.200023999988,0.035000421573752535
6529,Maschera anti-crespo - ALOE BIO E IALURONICO (200 ml)__E-RETAILERS__ITALIA,120.0,769.2000245999876,0.15600623526033353
6530,Maschera anti-crespo - ALOE BIO E IALURONICO (200 ml)__NEGOZI AL DETTAGLIO__ITALIA,375.0,16510.600016999993,0.022712681526648612
6531,Maschera anti-giallo - MIRTILLO BIO E AMLA (200 ml)__BIOSTORIE__ITALIA,248.0,7011.200023999989,0.0353719761454634
6535,Maschera anti-giallo - MIRTILLO BIO E AMLA (200 ml)__NEGOZI AL DETTAGLIO__ITALIA,260.0,11429.600011999995,0.022747952660375225
6536,Maschera ristrutturante - COCCO BIO E FITOCHERATINA (200 ml)__BIOSTORIE__ITALIA,248.0,7071.6000239999885,0.03506985677333614
6539,Maschera ristrutturante - COCCO BIO E FITOCHERATINA (200 ml)__E-RETAILERS__ITALIA,120.0,719.6000247999876,0.16675930498106073
6540,Maschera ristrutturante - COCCO BIO E FITOCHERATINA (200 ml)__NEGOZI AL DETTAGLIO__ITALIA,375.0,16469.00001749999,0.022770052802327054
6652,Maticao LAMPONE - balsamo labbra temperabile (box segnalibro)__BIOSTORIE__ITALIA,1105.0,4423.443835187256,0.2498053645917316
6654,Maticao LAMPONE - balsamo labbra temperabile (box segnalibro)__DISTRIBUTORI__ITALIA,1040.0,23573.104284463305,0.0441180757294426
6669,Maticao PESCA - balsamo labbra temperabile (box segnalibro)__DISTRIBUTORI__ITALIA,910.0,20458.351729225138,0.044480611734719955
